user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the primary goal of modern AI according to the lecture?,"['FROM AUTOMATION TO COLLABORATION • Traditional AI = Task automation • Follows fixed rules and performs predefined tasks • Efficient but limited by human instructions • Modern AI = Goal-driven collaboration • Understands goals and adapts to user needs • Uses reasoning and creativity to co-create solutions • Collaboration replaces command-and-control • AI acts as a partner, not just a tool 18', 'SYMBOLIC AI - CRITICS • Recall symbolic AI in Deductive Reasoning Agent lecture. • Is inference on symbols representing the world sufficient to solve real-world problems? • Problems with “symbolic AI”: • Computational complexity of reasoning in real-world applications • The transduction/knowledge acquisition bottleneck • Logic-based approaches largely focus on theoretical reasoning • Detached from interaction with physical world 3', 'LEARNING OUTCOMES At the end of today’s lecture, you should be able to: • Recognise agent behaviours • Compare agent with objects and AI systems • Justify agents as intentional system • Identify tasks for agents 2', 'AGENTIC AI • Agentic AI refers to AI systems that can act independently, make decisions, and perform tasks to achieve specific goals. • These systems combine reasoning, memory, and generative abilities to plan and adapt their actions. • Unlike traditional AI, they don’t just respond — they take initiative and collaborate with humans or other agents. 26', 'INTENTIONAL STANCE IN TODAY’S AI • LLMs and agentic AI often seem to make choices or have goals • When we say “ChatGPT understands” or “the agent decides,” we’re using the intentional stance • These systems don’t truly think, but this view helps us explain and predict their behaviour • Talking about AI “as if it thinks” makes human–AI interaction easier to understand. 37']","Based on the context provided, the primary goal of modern AI is **goal-driven collaboration** with humans to adapt to user needs.

Here is a breakdown of why this is the case based on the specific lecture points:

*   **Goal-Oriented:** Unlike traditional AI which follows fixed rules, modern AI is explicitly defined as ""goal-driven.""
*   **Adaptability:** It understands the user's specific needs and ""adapts to user needs,"" rather than just following pre-defined commands.
*   **Reasoning and Creativity:** It uses reasoning and creativity to ""co-create solutions,"" shifting the dynamic from a command-and-control relationship to a partnership.
*   **Human-Centric:** It acts as a ""partner"" rather than just a ""tool,"" emphasizing the interaction between humans and AI.

Therefore, the lecture defines modern AI not as autonomous systems that perform tasks independently, but as systems that work together to achieve specific goals through collaboration.",Modern AI = Goal-driven collaboration,0.8571428571428571,0.9925468111491864,0.7499999999625,1.0
What are the three key features of an agent according to the lecture?,"['SUMMARY • Overall, of the three lectures: • Key assumption: benevolence • Agents are working together, not in competition • In today’s lecture, We discussed a number of ways of having agents decide what to do, and make sure that their work is coordinated 14', 'SUMMARY • In this lecture, we looked at a few key pitfalls of agent development • We categorized it to 6 categories: • Political • Management • Conceptual • Analysis & Design • Micro (Agent) • Macro (Society) Level 16', 'WHAT IS AN AGENT? • The main point about agents is they are autonomous: capable independent action 4 An agent is a computer system that is situated in some environment, and that is capable of autonomous action in that environment in order to meet its delegated objectives • It is all about decisions: • An agent must choose what action to perform • An agent must decide when to perform an action', 'SUMMARY • This lecture has looked in detail at what constitutes an intelligent agent • We looked at the properties of an intelligent agent and the properties of the environments in which it may operate • We introduced the intentional stance and discussed its use • Finally, we discussed what kinds of task an agent might need to carry out. 50', 'AGENT ARCHITECTURES Three broad categories: 4 Deliberative Architectures focus on planning and symbolic reasoning Reactive Architectures focus on reactivity based on behavioural rules Hybrid Architectures attempt to balance proactiveness with reactivity']","Based on the summaries provided, here is the breakdown of the three key features of an agent according to L2.0 - Intelligent Agents (1):

1.  **Autonomy**: The main point is that agents are **independent**, capable of autonomous action to meet their objectives.
2.  **Decision Making**: An agent must **choose** an action and **decide** the timing for its performance.
3.  **Context Sensitivity**: An agent is **situated in some environment** and operates there.

**Answer:**
The three key features are **autonomy**, **decision making**, and **context sensitivity**.",An agent is a computer system that is capable of independent (autonomous) action on behalf of its user or owner,0.6153846153846154,0.7732070503713273,0.3333333333,1.0
What was the main focus of the reactive agents in the 1990s era?,"['EVOLUTION TOWARD AGENTIC AI Era Agent Type Key Feature Example 1990s Reactive Respond to stimuli Subsumption robot 2000s Deliberative Plan before acting BDI model (Poole & Mackworth Ch. 4) 2010s Cognitive Learn & reason IBM Watson 2020s Agentic AI Use LLMs to understand, plan & act ChatGPT Agents, AutoGPT 22', 'CLASSES OF ARCHITECTURE 7 1956 - present: Symbolic Reasoning Agents 1985–present: Reactive Agents 1990-present: Hybrid Agents • Decides by manipulating symbols that represent knowledge • Use explicit logical reasoning to decide actions • Problems with symbolic reasoning led to a reaction against this • Hybrid architectures attempt to combine the best of reasoning and reactive architectures 2012–present:', 'AGENT ARCHITECTURES Three broad categories: 4 Deliberative Architectures focus on planning and symbolic reasoning Reactive Architectures focus on reactivity based on behavioural rules Hybrid Architectures attempt to balance proactiveness with reactivity', 'PURELY REACTIVE AGENTS • Some agents decide what to do without reference to their history they base their decision making entirely on the present, with no reference at all to the past • We call such agents purely reactive: • A thermostat is a purely reactive agent. 39', 'architectures attempt to combine the best of reasoning and reactive architectures 2012–present: Agentic AI • Agents that combine reasoning with LLMs to plan, act, and collaborate autonomously']","Based on the context provided, the main focus of reactive agents in the 1990s era was to respond immediately to specific stimuli.

This was evident in the definitions from the PDFs and the text: ""1990s Reactive Respond to stimuli"" and ""PURELY REACTIVE AGENTS"" defined these agents as making decisions based solely on the current state without referencing the past. Examples like a thermostat and basic reactive robots confirm this focus.

**Answer:** The main focus of reactive agents in the 1990s era was to respond immediately to specific stimuli, making decisions without any reference to the past.","Reactive agents in the 1990s era were Subsumption robots, which respond to stimuli",0.6666666666666666,0.9956929491600711,0.9999999999,1.0
"What does the evolution towards agentic AI bring us, according to the lecture?","['EVOLUTION TOWARD AGENTIC AI Era Agent Type Key Feature Example 1990s Reactive Respond to stimuli Subsumption robot 2000s Deliberative Plan before acting BDI model (Poole & Mackworth Ch. 4) 2010s Cognitive Learn & reason IBM Watson 2020s Agentic AI Use LLMs to understand, plan & act ChatGPT Agents, AutoGPT 22', 'AGENTIC AI • Agentic AI refers to AI systems that can act independently, make decisions, and perform tasks to achieve specific goals. • These systems combine reasoning, memory, and generative abilities to plan and adapt their actions. • Unlike traditional AI, they don’t just respond — they take initiative and collaborate with humans or other agents. 26', 'INTENTIONAL STANCE IN TODAY’S AI • LLMs and agentic AI often seem to make choices or have goals • When we say “ChatGPT understands” or “the agent decides,” we’re using the intentional stance • These systems don’t truly think, but this view helps us explain and predict their behaviour • Talking about AI “as if it thinks” makes human–AI interaction easier to understand. 37', 'SYMBOLIC AI - CRITICS • Recall symbolic AI in Deductive Reasoning Agent lecture. • Is inference on symbols representing the world sufficient to solve real-world problems? • Problems with “symbolic AI”: • Computational complexity of reasoning in real-world applications • The transduction/knowledge acquisition bottleneck • Logic-based approaches largely focus on theoretical reasoning • Detached from interaction with physical world 3', 'architectures attempt to combine the best of reasoning and reactive architectures 2012–present: Agentic AI • Agents that combine reasoning with LLMs to plan, act, and collaborate autonomously']","The evolution towards **Agentic AI** brings us a fundamental shift in how we conceptualize and interact with artificial intelligence, moving from reactive to proactive and collaborative systems.

According to the lecture:

1. **From Reactive to Proactive**: Traditional AI (reactive) systems respond to immediate stimuli. Agentic AI takes initiative, plans, and acts to achieve complex goals autonomously, even when no immediate trigger is present.

2. **Reasoning and Memory Integration**: Agentic AI combines reasoning and memory with generative abilities, allowing it to adapt its actions and decisions over time based on context and learned patterns.

3. **Collaboration with Humans**: Unlike some reactive systems, Agentic AI doesn't just respond to stimuli—it collaborates with humans or other AI agents to achieve broader, more complex objectives.

4. **Out-of-Scope for Physical World**: As mentioned in the context, symbolic AI is detached from interaction with the physical world, while symbolic reasoning in deductive AI struggles with real-world complexity.

5. **Human-Centric AI**: The intentional stance perspective helps explain that AI systems ""as if they think"" make choices, facilitating better understanding of human-AI interaction.

In essence, Agentic AI represents a shift towards AI systems that are **intelligent, adaptive, and collaborative** rather than merely responsive, making them better suited for tasks requiring strategic planning, complex problem-solving, and human interaction.","The ability of computer systems to act independently, the ability of computer systems to act in a way that represents our best interests while interacting with other humans or systems",0.9333333333333333,0.8091659796414565,0.49999999995,0.5
"What are some examples of generative AI models that modern agents may use, according to the lecture?","['AGENTS: A FIRST DEFINITION • An agent is a computer system that is capable of independent (autonomous) action on behalf of its user or owner • I.e., figuring out what needs to be done to satisfy design objectives, rather than constantly being told • Modern agents may use generative AI models to reason, adapt to context, and create solutions without explicit re-programming 24', 'MODERN EXAMPLES OF INTELLIGENT AGENTS 31 Field Example Education AI tutors & content generators (ChatGPT, Khanmigo) Healthcare Diagnosis & therapy bots (Woebot, Glass Health) Software GitHub Copilot & debug agents Creativity Adobe Firefly, Midjourney, Gemini for design support Planning Autonomous research assistants', 'SUMMARY • In this lecture, we explored why traditional object-oriented methodologies are not sufficient for building multi-agent systems. • We introduced agent-oriented methodologies that focus on roles, interactions, and coordination between agents. • We discussed examples such as GAIA, Agent UML, and Prometheus to illustrate different approaches to agent-based analysis and design. • We highlighted the importance of separating agent analysis from agent design to manage system complexity. 23', 'SYMBOLIC AI - CRITICS • Recall symbolic AI in Deductive Reasoning Agent lecture. • Is inference on symbols representing the world sufficient to solve real-world problems? • Problems with “symbolic AI”: • Computational complexity of reasoning in real-world applications • The transduction/knowledge acquisition bottleneck • Logic-based approaches largely focus on theoretical reasoning • Detached from interaction with physical world 3', 'SUMMARY • This lecture has discussed some aspects of agent ontologies and communication between agents • We have focused on the interpretation of locutions/ performatives as speech acts, and some suggestions for what performatives one might use • We have looked at performatives in KQML/KIF, FIPA and Jason • We finally describe ontology, its inheritance and detail levels 30']","Based on the provided lecture text, here are some examples of generative AI models modern agents are expected to use:

1. ChatGPT (or similar language models)
2. Khanmigo (mentioned in the text)
3. Woebot
4. Glass Health
5. GitHub Copilot
6. Adobe Firefly (for design support)
7. Midjourney
8. Gemini (for design support)
9. Prometheus
10. Various AI-driven research assistants

These models are mentioned as being used in modern AI agents for various applications, such as education, healthcare, software development, and design support. The text highlights how these models can reason, adapt to context, and create solutions without explicit reprogramming, aligning with modern agent-oriented methodologies.","Modern agents may use generative AI models to reason, adapt to context, and create solutions without explicit re-programming",,0.9877260621647279,0.9999999999,1.0
What is the main point about agents being autonomous?,"['WHAT IS AN AGENT? • The main point about agents is they are autonomous: capable independent action 4 An agent is a computer system that is situated in some environment, and that is capable of autonomous action in that environment in order to meet its delegated objectives • It is all about decisions: • An agent must choose what action to perform • An agent must decide when to perform an action', 'WORKING TOGETHER • Since agents are autonomous, they have to make decisions at run-time, and be capable of dynamic coordination • Overall, they will need to be able to share: • Tasks • Information • No common goals if agents designed by different individuals • Important to make a distinction between: • benevolent agents and • self-interested agents 3', '18 Agents are autonomous: • agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent Agents are smart: • capable of flexible (reactive, pro-active, social) behaviour – the standard object-oriented model has nothing to say about such types of behaviour Agents are active: • not passive service providers;', 'AUTONOMOUS • By autonomous mobile, we mean agents that are able to decide for themselves where to go, when, and what to do when they get there (subject to certain resource constraints) • Such agents are generally programmed in a special language that provides a go instruction • best known example is TELESCRIPT 12', 'AGENTS: A FIRST DEFINITION • An agent is a computer system that is capable of independent (autonomous) action on behalf of its user or owner • I.e., figuring out what needs to be done to satisfy design objectives, rather than constantly being told • Modern agents may use generative AI models to reason, adapt to context, and create solutions without explicit re-programming 24']","The main point about agents being autonomous is that they are **capable of independent action** within their specific environment.

Based on the provided context (S1, S2, S3, S4, and S5), this definition includes three key aspects:
1.  **Autonomy**: Agents make their own decisions rather than being strictly programmed.
2.  **Action**: They can perform actions on behalf of their users.
3.  **Environment**: They operate within a specific context.

**Key Distinction from Objects:**
Unlike objects, agents are distinguished from humans by their ability to **decide** what to do (they are not passive), and they often possess **flexible behavior** (reactive, proactive, or social). They are not just ""smart""; they have agency.

**Summary**: Agents are systems that can act independently, make decisions, and adapt to their surroundings to fulfill delegated objectives, moving beyond simple passive service providers.",The main point about agents is they are autonomous: capable of independent action.,0.875,0.9241201371248963,0.99999999998,1.0
What types of behaviour does an intelligent agent typically exhibit?,"['INTELLIGENT AGENT It is typically thought as exhibiting 3 types of behaviour: • Reactive • Pro-active • Social Ability 7 An intelligent agent is a computer system capable of flexible autonomous action in some environment', '18 Agents are autonomous: • agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent Agents are smart: • capable of flexible (reactive, pro-active, social) behaviour – the standard object-oriented model has nothing to say about such types of behaviour Agents are active: • not passive service providers;', 'BROOKS BEHAVIOURAL LANGUAGES Brooks’ research is based on two key ideas: 1. Situatedness and embodiment: ‘Real’ intelligence is situated in the world, not in disembodied systems such as theorem provers or expert systems. 2. Intelligence and emergence: ‘Intelligent’ behaviour arises as a result of an agent’s interaction with its environment. Also, intelligence is ‘in the eye of the beholder’; it is not an innate, isolated property. 7', 'RECAP • Agent behaviors – Reactive, Pro-active, Social • Properties of environment – Real time, Dynamic, Episodic etc. • Compare agent with objects and AI systems • Agents as intentional system • Tasks for agents – Achievement Task vs Management Task • Abstract architectures for agents 2', 'MODERN EXAMPLES OF INTELLIGENT AGENTS 31 Field Example Education AI tutors & content generators (ChatGPT, Khanmigo) Healthcare Diagnosis & therapy bots (Woebot, Glass Health) Software GitHub Copilot & debug agents Creativity Adobe Firefly, Midjourney, Gemini for design support Planning Autonomous research assistants']","Based on the provided sources and definitions, an intelligent agent typically exhibits the following three types of behavior:

1.  **Reactive Behavior**: The agent responds to specific inputs or triggers immediately, without prior planning or memory of past events. It acts based on the current state of the environment.
2.  **Pro-Active Behavior**: The agent anticipates future events, potential problems, or opportunities within the environment and takes appropriate action to address them before they become urgent. This involves planning and foresight.
3.  **Social Behavior**: The agent engages in communication, negotiation, or collaboration with other agents and entities within the environment. This often involves recognizing the needs of others and initiating interaction to achieve common goals.

These three behaviors are highlighted in the context as the fundamental characteristics of a flexible, autonomous system capable of complex environmental interaction, aligning with the standard object-oriented model and the emergent nature of intelligence.","An intelligent agent is a computer system capable of flexible autonomous action in some environment. It exhibits 3 types of behaviour: reactive, pro-active, and social ability.",0.1111111111111111,0.935447636748453,0.9166666666361111,1.0
Why is a reactive system considered easy to build for fixed environments?,"['REACTIVITY • Software is hard to build for dynamic domains: program must consider possibility of failure • A reactive system is one that maintains an ongoing interaction with its environment and responds to changes that occur in it (in time for the response to be useful). 9', 'LIMITATIONS OF REACTIVE SYSTEMS • As actions are based on local information, such agents inherently take a “short-term” view • Emergent behaviour is very hard to engineer or validate; typically a trial and error approach is ultimately adopted • Whilst agents with few layers are straightforward to build, models using many layers are inherently complex and difficult to understand \uf0df Design approach does not scale-up for large systems 11', 'ADVANTAGES OF REACTIVE SYSTEMS • Simplicity, i.e. modules have high expressiveness • Computational tractability • Robustness against failure, i.e. possibility of modeling redundancies • Overall behavior emerges from interactions 10', 'REACTIVITY • If a program’s environment is guaranteed to be fixed, the program need never worry about its own success or failure • Program just executes blindly. • Example of fixed environment: compiler. • The real world is not like that: most environments are dynamic and information is incomplete. 8', 'HYBRID ARCHITECTURES • Idea: Neither completely deliberative nor completely reactive architectures are suitable → combine both perspectives in one hybrid architecture • Build an agent out of two (or more) subsystems: • a deliberative one: responsible for abstract planning and decision-making using symbolic representations • a reactive one: capable to respond to world changes without any complex reasoning and decision-making 3']","Based on the provided context and the **S4** document, here is the analysis regarding why a reactive system is considered easy to build for fixed environments:

### Analysis based on the Document

**Source: S4 (L2.0 - Intelligent Agents (1).pdf, page 8)**
**Title: REACTIVITY • If a program's environment is guaranteed to be fixed, the program need never worry about its own success or failure • Program just executes blindly.**

The text explicitly defines the relationship between a **fixed environment** and a **reactive system**:

1.  **""If a program's environment is guaranteed to be fixed""**: This is the primary condition mentioned for the ease of building a reactive system.
2.  **""Program just executes blindly""**: When the environment is fixed, there is no need to model potential failures, plan long-term strategies, or handle incomplete information. The system relies solely on the rules and current state provided by the environment.
3.  **""Example of fixed environment: compiler""**: The compiler is a classic example of a fixed system. A compiler has a predictable input, a known set of rules, and a known output, so it does not experience runtime failures or complex logic errors.

### Conclusion

A reactive system is considered easy to build for fixed environments because **it eliminates the need for reasoning and planning**. The definition of a reactive system (maintaining ongoing interaction) is most straightforward when the environment is already known to be static and complete, meaning the agent has no uncertainty to model.

In simpler terms: If the environment is guaranteed to be fixed, you don't need to worry about ""what if"" scenarios, and the agent simply follows the instructions given by the environment to execute.","If a program’s environment is guaranteed to be fixed, the program need never worry about its own success or failure. The real world is not like that: most environments are dynamic and information is incomplete.",0.28,0.9245571488642952,0.249999999975,1.0
What does proactiveness involve for agents?,"['PROACTIVENESS • Reacting to an environment is easy • e.g., stimulus → response rules • But we generally want agents to do things for us • Hence goal directed behaviour • Pro-activeness: generating and attempting to achieve goals; not driven solely by events; taking the initiative and recognising opportunities 10', 'AGENT ARCHITECTURES Three broad categories: 4 Deliberative Architectures focus on planning and symbolic reasoning Reactive Architectures focus on reactivity based on behavioural rules Hybrid Architectures attempt to balance proactiveness with reactivity', '18 Agents are autonomous: • agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent Agents are smart: • capable of flexible (reactive, pro-active, social) behaviour – the standard object-oriented model has nothing to say about such types of behaviour Agents are active: • not passive service providers;', 'RECAP • Agent behaviors – Reactive, Pro-active, Social • Properties of environment – Real time, Dynamic, Episodic etc. • Compare agent with objects and AI systems • Agents as intentional system • Tasks for agents – Achievement Task vs Management Task • Abstract architectures for agents 2', 'RECOGNITION • In this stage, an agent recognises it has a problem it needs help with • Agent has a goal, and either • realises it cannot achieve the goal in isolation - i.e. it does not have capability • realises it would prefer not to achieve the goal in isolation (typically because of solution quality, deadline etc.) • As a result, it needs to involve other agents 6']","Based on the provided context and the definitions from the sources, **proactiveness involves an agent actively generating and attempting to achieve goals.**

It goes beyond simple reaction to events (reactive behavior). Instead, proactiveness requires the agent to take initiative, identify opportunities, and work toward specific objectives. In the context of the *Intelligent Agent* (S1), proactiveness is defined as ""generating and attempting to achieve goals; not driven solely by events.""",Pro-activeness: generating and attempting to achieve goals; not driven solely by events; taking the initiative and recognising opportunities.,0.8333333333333334,0.7601628723551753,0.9999999999,1.0
"What is the difference between objects and agents, and how do agents differ from objects?","['AGENTS AND OBJECTS Are agents just objects by another name? • Object: • encapsulates some state; • communicates via message passing; • has methods, corresponding to operations that • may be performed on this state. 17', '18 Agents are autonomous: • agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent Agents are smart: • capable of flexible (reactive, pro-active, social) behaviour – the standard object-oriented model has nothing to say about such types of behaviour Agents are active: • not passive service providers;', 'AGENTS: A FIRST DEFINITION • An agent is a computer system that is capable of independent (autonomous) action on behalf of its user or owner • I.e., figuring out what needs to be done to satisfy design objectives, rather than constantly being told • Modern agents may use generative AI models to reason, adapt to context, and create solutions without explicit re-programming 24', 'RECAP • Agent behaviors – Reactive, Pro-active, Social • Properties of environment – Real time, Dynamic, Episodic etc. • Compare agent with objects and AI systems • Agents as intentional system • Tasks for agents – Achievement Task vs Management Task • Abstract architectures for agents 2', 'METATEM AGENTS • A Concurrent MetateM system contains a number of agents (objects) • Each object has 3 attributes: • a name • an interface • a MetateM program 32 • An agent’s interface contains two sets: • messages the agent will accept • messages the agent may send']","Based on the provided context, here is the differentiation between **objects** and **agents**:

### 1. Definition of an Object
An **object** is a self-contained entity that encapsulates specific **state** and **behavioral capabilities**.
*   **Key Characteristics:**
    *   Encapsulates state: It holds data relevant to its function.
    *   Communicates via message passing: It acts as a container that can trigger actions on the environment.
    *   Has methods: It defines specific operations (functions) that can be performed when interacting with the environment.

### 2. Definition of an Agent
An **agent** is a distinct system (computer system) designed to **act autonomously** to achieve specific goals.
*   **Key Characteristics:**
    *   Embodies a stronger **autonomy**: It makes decisions and performs actions on its own, rather than passively waiting for instructions.
    *   Decides whether to perform an action: Unlike an object, an agent evaluates whether the request it received requires its own execution.
    *   Uses generative AI (reactive, proactive, social): Agents can infer needs from context, create solutions, or engage in social interaction without constant manual programming.
    *   Is an **intentional system**: It has a clear purpose and owns its own workflow.

### Summary Comparison
| Feature | Object | Agent |
| :--- | :--- | :--- |
| **Nature** | A self-contained entity (like a program) | A system of entities (like an intelligent agent) |
| **State** | Holds specific data and methods | Holds state *and* the ability to act |
| **Decision** | Passive (gets told to do something) | Active (decides on its own) |
| **Flexibility** | Reactive or Proactive depending on the object | Flexible (reactive, proactive, social) |
| **Primary Role** | To manage resources or data | To solve problems autonomously |

**Conclusion:**
In the context of the provided text, an **object** is simply the ""container"" holding data and methods (like a function or a program instance), while an **agent** is a specialized system that owns that container and uses it to make autonomous decisions, solve problems, and communicate dynamically.","Agents are autonomous: agents embody stronger notion of autonomy than objects, and in particular, they decide for themselves whether or not to perform an action on request from another agent. Agents are smart: agents are capable of flexible (reactive, pro-active, social) behaviour – the standard object-oriented model has nothing to say about such types of behaviour. Agents are active: agents are not passive service providers; a multi-agent system is inherently multi-threaded, in that each agent is assumed to have at least one thread of active control. Objects do it because they have to! Objects do it for free! Agents do it because they want to! Agents do it for personal gain!",,0.8967922856656135,0.49999999995,0.5
